Channel,MPH Code,PH Gender,Count of Policy/COI Number,Average of PH Entry Age,Average of Policy Term_Month,Sum of Premium,Sum of Sum Assured,Sum of Claim Amount,Count of Claims
SVOJBK0001,FRUIMPH149,Female,21,34.71,23.14,12469.6,1442000,,
SVOJBK0001,SHROMPH017,Female,128,39.6,23.25,56374,8200000,,
SVOJBK0001,JINDMPH015,Male,719,36.88,23.4,166440,28280000,30000,1
SVOJBK0001,JINDMPH015,Female,730,36.77,23.41,169080,28720000,40000,1
SVOJBK0001,SHROMPH017,Male,126,40.87,23.43,56019,8100000,,
FINHBK0004,SANKMPH096,Female,80,38.38,23.55,69618.3,5842000,,
CREDDS0001,CHAIMPH021,Female,26933,36.75,23.65,23119757.62,1303048000,3412000,71
SVOJBK0001,HMSMMPH126,Female,6912,36.75,23.8,2184485.6,313835000,45000,1
SVOJBK0001,HMSMMPH126,Male,5173,37.23,23.81,1623400,233155000,,
AGROMH0002,AGROMPH069,Female,1648,36.87,23.98,1583200,79200000,,
FINHBK0004,MRUDMPH251,Female,3,37.67,24,2173.6,220000,,
SVOJBK0001,CORAMPH266,Female,26,41.19,24,11700,1300000,,
SVOJBK0001,HNATMPH040,Female,53,42.08,24,31184.8,4586000,,
SVOJBK0001,HNATMPH040,Male,62,39.21,24,35557.2,5229000,,
SVOJBK0001,HPAFMPH039,Female,8010,37.07,24,1834290,305715000,295000,8
SVOJBK0001,MALAMPH245,Female,6853,39.18,24,1215830,173690000,,
SVOJBK0001,MALAMPH245,Male,5259,40.63,24,931630,133090000,,
SVOJBK0001,TNCLMPH087,Female,29,34.1,24,10650,1065000,,
SVOJBK0001,VAGMMPH146,Female,1,36,24,1440,320000,,
SVOJBK0001,HPAFMPH039,Male,6678,38.14,24,2656368,255220000,455000,11
CREDCA0001,CREDMPH002,Female,761940,39.59,24.62,455798910.9,39033054000,38199000,758
FINHBK0004,CHALMPH106,Male,100,40.87,24.72,105314.75,10345000,,
FINHBK0004,VIJAMPH263,Female,72,36.93,24.92,52630,4540000,,
FINHBK0004,SANKMPH096,Male,95,37.58,25.01,145869.25,11195000,,
SVOJBK0001,HRIKMPH051,Female,35,36.57,25.6,24133.3,3013927,,
SVOJBK0001,HRIKMPH051,Male,645,31.41,26.01,475030.44,60395396,,
CREDCA0001,CREDMPH002,Male,255782,41.27,27.02,617475307,19148821000,64767000,845
SVOJBK0001,VELIMPH006,Male,10166,47.09,27.3,13102839.45,1566804000,800000,5
SVOJBK0001,VELIMPH006,Female,10791,46.28,27.44,14196484.6,1683279000,,
FINHBK0004,CHALMPH106,Female,10,41.1,27.6,12056.3,1257000,,
HOWDBK0007,SASWMPH099,Female,189,40.02,30.95,332874.51,27142502,,
HOWDBK0007,SASWMPH099,Male,130,41.25,31.35,208838.07,19041641,,
SVOJBK0001,HORRMPH091,Male,90,34.82,32.07,42712.25,3087650,,
SVOJBK0001,HSGRMPH064,Female,23,35.26,32.87,67709.5,8507372,,
AGROMH0002,AGROMPH069,Male,5,40.4,33.6,30872.5,1200000,,
FINHBK0004,SAHAMPH062,Female,98,38.9,34.04,127369.7,13870000,,
SVOJBK0001,HORRMPH091,Female,31,30.61,34.16,11575.55,803520,,
RMINBK0008,MANGMPH088,Male,144,33.32,34.21,332910.15,28579004,,
FINHBK0004,SAHAMPH062,Male,462,37.94,34.91,756586.14,59568211,,
SVOJBK0001,VAGMMPH146,Male,5,44.6,37.2,18556,1400000,,
SVOJBK0001,HRTFMPH052,Male,15,36.4,39.87,216835.69,9806312,2411571,1
SVOJBK0001,HSGRMPH064,Male,163,33.97,44.25,923434.65,97145253,,
FINHBK0004,THEJMPH270,Male,780,39.11,52.37,902021.31,58088925,,
FINHBK0004,THEJMPH270,Female,256,39,55.98,311030.13,18799006,,
SVOJBK0001,HRTFMPH052,Female,1,22,60,6316.88,592533,,
SVOJBK0001,HRMKMPH047,Male,79,34.58,62.13,636056.41,47043694,,
SVOJBK0001,HRMKMPH047,Female,5,33.4,62.4,35268.5,3459483,,
SVOJBK0001,HMSFMPH067,Female,5,37.6,67.2,28581.75,1969050,,
SVOJBK0001,HMSFMPH067,Male,262,31.19,68.89,1254220.03,106395857,,
SVOJBK0001,HHTPMPH276,Male,9,30.78,70.67,95153.1,7690631,,
SVOJBK0001,HHTPMPH276,Female,1,36,84,14736,795875,,
